Polo;Faixa_Distancia;K_Sugerido;Qtd_Amostras
ARARUAMA;111500-112000 m;;0
ARARUAMA;112000-112500 m;;0
ARARUAMA;112500-113000 m;;0
ARARUAMA;113000-113500 m;;0
ARARUAMA;113500-114000 m;;0
ARARUAMA;114000-114500 m;;0
ARARUAMA;114500-115000 m;;0
ARARUAMA;115000-115500 m;;0
ARARUAMA;115500-116000 m;;0
ARARUAMA;116000-116500 m;;0
ARARUAMA;116500-117000 m;;0
ARARUAMA;117000-117500 m;;0
ARARUAMA;117500-118000 m;;0
ARARUAMA;118000-118500 m;;0
ARARUAMA;118500-119000 m;;0
ARARUAMA;119000-119500 m;;0
ARARUAMA;119500-120000 m;;0
ARARUAMA;120000-120500 m;;0
ARARUAMA;120500-121000 m;;0
ARARUAMA;121000-121500 m;;0
ARARUAMA;121500-122000 m;;0
ARARUAMA;122000-122500 m;;0
ARARUAMA;122500-123000 m;;0
ARARUAMA;123000-123500 m;;0
ARARUAMA;123500-124000 m;;0
ARARUAMA;124000-124500 m;;0
ARARUAMA;124500-125000 m;;0
ARARUAMA;125000-125500 m;;0
ARARUAMA;125500-126000 m;;0
ARARUAMA;126000-126500 m;;0
ARARUAMA;126500-127000 m;;0
ARARUAMA;127000-127500 m;;0
ARARUAMA;127500-128000 m;;0
ARARUAMA;128000-128500 m;;0
ARARUAMA;128500-129000 m;;0
ARARUAMA;129000-129500 m;;0
ARARUAMA;129500-130000 m;;0
ARARUAMA;130000-130500 m;;0
ARARUAMA;130500-131000 m;;0
ARARUAMA;131000-131500 m;;0
ARARUAMA;131500-132000 m;;0
ARARUAMA;132000-132500 m;;0
ARARUAMA;132500-133000 m;;0
ARARUAMA;133000-133500 m;;0
ARARUAMA;133500-134000 m;;0
ARARUAMA;134000-134500 m;;0
ARARUAMA;134500-135000 m;;0
ARARUAMA;135000-135500 m;;0
ARARUAMA;135500-136000 m;;0
ARARUAMA;136000-136500 m;;0
ARARUAMA;136500-137000 m;;0
ARARUAMA;137000-137500 m;;0
ARARUAMA;137500-138000 m;;0
ARARUAMA;138000-138500 m;;0
