Polo;Data;Distancia_Reta_m;Distancia_Real_m
SÃO GONÇALO;2025-07-23;159.14832857730536;209
SÃO GONÇALO;2025-07-23;2.298126042653564;0
SÃO GONÇALO;2025-07-23;182.4429682556848;306
SÃO GONÇALO;2025-07-23;204.58148334334703;865
SÃO GONÇALO;2025-07-23;416.1215438863858;284
SÃO GONÇALO;2025-07-23;237.42732605243825;200
SÃO GONÇALO;2025-07-23;563.66902557573;888
SÃO GONÇALO;2025-07-23;129.62163273087387;127
SÃO GONÇALO;2025-07-23;534.4054232171569;1317
SÃO GONÇALO;2025-07-23;1276.3993418667949;2558
SÃO GONÇALO;2025-07-23;1136.8548711284498;1857
SÃO GONÇALO;2025-07-23;107.59479702541245;744
SÃO GONÇALO;2025-07-23;368.6342143296555;50
SÃO GONÇALO;2025-07-23;343.75358499617374;5
SÃO GONÇALO;2025-07-23;757.7804410026889;92
SÃO GONÇALO;2025-07-23;19.7227428695276;27
SÃO GONÇALO;2025-07-23;321.8003957898643;1019
SÃO GONÇALO;2025-07-23;64.78941737167294;70
SÃO GONÇALO;2025-07-23;170.99468718402775;636
SÃO GONÇALO;2025-07-23;29.34465288333348;20
SÃO GONÇALO;2025-07-23;93.81318213298768;656
SÃO GONÇALO;2025-07-23;53.69562626711724;426
SÃO GONÇALO;2025-07-23;6.258457702238133;437
SÃO GONÇALO;2025-07-23;445.7499105849032;908
SÃO GONÇALO;2025-07-23;1318.0185327734682;1275
SÃO GONÇALO;2025-07-23;997.6962856068506;1740
SÃO GONÇALO;2025-07-23;92.80241614311431;12
SÃO GONÇALO;2025-07-23;125.14084144757132;110
SÃO GONÇALO;2025-07-23;91.5288596600462;0
SÃO GONÇALO;2025-07-23;103.74885999786046;290
SÃO GONÇALO;2025-07-23;75.23885687970437;522
SÃO GONÇALO;2025-07-23;256.42006823795185;23
SÃO GONÇALO;2025-07-23;30.20194588746784;221
SÃO GONÇALO;2025-07-23;78.37083969966011;432
SÃO GONÇALO;2025-07-23;139.77857947745528;152
SÃO GONÇALO;2025-07-23;381.4908636917277;430
SÃO GONÇALO;2025-07-23;0.0;227
SÃO GONÇALO;2025-07-23;27.489965218048155;71
SÃO GONÇALO;2025-07-23;13.593248945389393;81
SÃO GONÇALO;2025-07-23;957.3310829228328;1655
SÃO GONÇALO;2025-07-23;871.9719091099408;1148
SÃO GONÇALO;2025-07-23;13.991019216965409;6
SÃO GONÇALO;2025-07-23;796.5742393954606;140
SÃO GONÇALO;2025-07-23;0.0;878
SÃO GONÇALO;2025-07-23;308.3047557254928;826
SÃO GONÇALO;2025-07-23;170.6162008104161;0
SÃO GONÇALO;2025-07-23;77.93907076429535;627
SÃO GONÇALO;2025-07-23;5.026325089726273;247
SÃO GONÇALO;2025-07-23;100.68518609984784;205
SÃO GONÇALO;2025-07-23;170.70500767891284;280
SÃO GONÇALO;2025-07-23;390.4710718610002;5
SÃO GONÇALO;2025-07-23;75.95296244023032;254
SÃO GONÇALO;2025-07-23;392.7113604123269;484
SÃO GONÇALO;2025-07-23;478.8259328808811;236
SÃO GONÇALO;2025-07-23;941.943249799566;2515
SÃO GONÇALO;2025-07-23;641.4074517558474;970
SÃO GONÇALO;2025-07-23;142.8281603926806;188
SÃO GONÇALO;2025-07-23;874.5654526099671;1270
SÃO GONÇALO;2025-07-23;407.154337382944;692
SÃO GONÇALO;2025-07-23;87.67509341678695;110
SÃO GONÇALO;2025-07-23;24.42182237803817;23
SÃO GONÇALO;2025-07-23;182.0539482023601;182
SÃO GONÇALO;2025-07-23;165.1985420127625;249
SÃO GONÇALO;2025-07-23;210.9325314304485;382
SÃO GONÇALO;2025-07-23;226.3919971710624;263
SÃO GONÇALO;2025-07-23;20.688866979046235;19
SÃO GONÇALO;2025-07-23;509.99282647531646;861
SÃO GONÇALO;2025-07-23;301.15439580005665;418
SÃO GONÇALO;2025-07-23;335.47247281265646;624
SÃO GONÇALO;2025-07-23;2398.688325029396;2702
SÃO GONÇALO;2025-07-23;847.6028415392555;2201
SÃO GONÇALO;2025-07-23;232.2307697563856;257
SÃO GONÇALO;2025-07-23;10.052011588055745;119
SÃO GONÇALO;2025-07-23;0.0;628
SÃO GONÇALO;2025-07-23;268.32656209940967;555
SÃO GONÇALO;2025-07-23;81.64574074374083;0
SÃO GONÇALO;2025-07-23;201.5646337699926;2
SÃO GONÇALO;2025-07-23;186.6598247374615;226
SÃO GONÇALO;2025-07-23;401.5627883402441;436
SÃO GONÇALO;2025-07-23;320.642734228337;1013
SÃO GONÇALO;2025-07-23;49.34580950282752;694
SÃO GONÇALO;2025-07-23;210.53028856636053;1860
SÃO GONÇALO;2025-07-23;153.44362263937535;293
SÃO GONÇALO;2025-07-23;124.97624928233476;410
