ID_Servico;Polo;Latitude;Longitude;Valor_Divida;Tipo_Servico;Municipio;Tipo_Equipe_Requerida;Mix_Solic;Equipe;Serviço;Mix_solic;Tempo_Execucao_Min
34053942.0;NITERÓI;-22.9408;-43.0431;32878.09;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34308723.0;NITERÓI;-22.9364;-42.7972;2378.76;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33958877.0;NITERÓI;-22.8847;-43.1133;14591.42;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34253054.0;NITERÓI;-22.9297;-42.8711;9952.1;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34051280.0;NITERÓI;-22.9272;-43.1203;1430.42;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34303562.0;NITERÓI;-22.9406;-43.0389;627.47;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34302606.0;NITERÓI;-22.8819;-43.1219;716.05;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34202552.0;NITERÓI;-22.9358;-42.7733;145.58;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34293094.0;NITERÓI;-22.8836;-43.1119;607.4;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34051426.0;NITERÓI;-22.9278;-43.1211;541.2;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34201607.0;NITERÓI;-22.9236;-42.8186;765.18;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34205423.0;NITERÓI;-22.9233;-42.8186;211.59;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34214165.0;NITERÓI;-22.9236;-42.8186;450.55;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34304183.0;NITERÓI;-22.8817;-43.1225;1372.86;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34269164.0;NITERÓI;-22.8992;-42.7939;1058.2;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34252848.0;NITERÓI;-22.9344;-42.8003;998.37;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34308760.0;NITERÓI;-22.9267;-42.7997;700.1;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33993518.0;NITERÓI;-22.9011;-43.1336;529.43;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34247635.0;NITERÓI;-22.9183;-42.8081;456.67;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34273466.0;NITERÓI;-22.9044;-42.9228;375.7;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34249367.0;NITERÓI;-22.9142;-42.8194;439.17;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34253128.0;NITERÓI;-22.9236;-42.8186;1811.03;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34253758.0;NITERÓI;-22.92269;-42.8194898;496.34;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34254336.0;NITERÓI;-22.8631;-42.7717;4031.78;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34254190.0;NITERÓI;-22.9644;-42.9075;1478.5;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34308651.0;NITERÓI;-22.9233;-42.8172;536.0;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34297668.0;NITERÓI;-22.8911;-42.9233;130.1;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34253277.0;NITERÓI;-22.9236;-42.8186;1889.53;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
33956750.0;NITERÓI;-22.9;-43.1244;2816.92;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34078370.0;NITERÓI;-22.9044;-42.8281;564.28;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34273778.0;NITERÓI;-22.9397;-42.8286;593.72;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34253091.0;NITERÓI;-22.9047;-42.9167;1856.2;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34069705.0;NITERÓI;-22.9278;-43.1211;1883.06;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34246802.0;NITERÓI;-22.9203;-42.8214;858.83;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34254840.0;NITERÓI;-22.9033;-42.9236;1325.33;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34303267.0;NITERÓI;-22.8825;-43.1244;5765.83;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
33957494.0;NITERÓI;-22.8797;-43.1225;5100.07;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34253131.0;NITERÓI;-22.9464;-42.9756;391.72;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
33698734.0;NITERÓI;-22.8875;-43.1131;356.51;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34309719.0;NITERÓI;-22.9361;-42.8975;504.88;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
26744183.0;NITERÓI;-22.9567;-42.9569;6962.73;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34310463.0;NITERÓI;-22.9128;-42.8439;1284.18;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34255318.0;NITERÓI;-22.9519;-42.9733;2327.08;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34302889.0;NITERÓI;-22.9011;-43.1231;3876.78;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
33956667.0;NITERÓI;-22.9536;-42.9778;4362.29;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34254548.0;NITERÓI;-22.9033;-42.9236;1742.67;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34255547.0;NITERÓI;-22.9033;-42.9228;2870.67;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34023920.0;NITERÓI;-22.8803;-42.8872;108.76;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33824204.0;NITERÓI;-22.9031;-43.1214;1238.29;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
33957042.0;NITERÓI;-22.87;-43.115;2020.94;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34292258.0;NITERÓI;-22.9361;-42.7922;603.41;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34254820.0;NITERÓI;-22.9031;-42.9228;822.91;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34303118.0;NITERÓI;-22.9011;-43.1314;319.54;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34304160.0;NITERÓI;-22.8731;-43.1083;1619.45;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34303241.0;NITERÓI;-22.9039;-42.9228;3193.18;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34146287.0;NITERÓI;-22.8686;-43.0058;388.73;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34253114.0;NITERÓI;-22.9486;-42.9761;1288.63;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34082918.0;NITERÓI;-22.9522;-42.9881;5869.51;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34216071.0;NITERÓI;-22.9172;-42.8564;386.85;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33824347.0;NITERÓI;-22.8781;-43.1256;306.34;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34233781.0;NITERÓI;-22.9011;-42.7958;421.76;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34147652.0;NITERÓI;-22.9519;-42.9733;3797.56;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34310489.0;NITERÓI;-22.9103;-42.8208;311.95;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
